employee_id,review_date,performance_rating
1,2020-07-02,4
1,2022-02-23,3
2,2021-06-29,4
3,2020-07-23,3
3,2020-02-12,3
4,2020-04-20,2
4,2020-07-01,3
4,2022-08-28,2
5,2020-07-13,4
6,2020-04-02,5
6,2020-03-01,2
6,2021-02-06,4
7,2021-08-26,3
7,2021-06-17,2
8,2021-10-06,3
9,2020-02-15,3
9,2020-03-18,3
10,2020-03-13,2
10,2020-02-16,4
10,2020-08-26,3
11,2022-04-10,3
11,2020-12-02,3
11,2020-09-13,2
12,2020-09-09,5
12,2020-10-29,3
12,2021-12-26,3
13,2020-03-18,3
13,2020-12-30,2
13,2021-11-29,3
14,2020-01-03,4
14,2022-01-19,4
14,2021-05-22,2
15,2022-03-16,3
15,2020-01-15,2
16,2021-04-29,2
16,2020-02-08,3
16,2020-08-18,2
17,2022-03-22,3
17,2021-06-08,3
18,2020-03-07,4
18,2020-05-25,2
19,2021-04-14,3
19,2022-02-14,3
19,2022-01-17,2
20,2021-09-04,3
21,2020-11-15,3
21,2022-08-09,3
22,2022-01-10,5
22,2021-03-12,2
23,2021-08-04,3
23,2021-05-30,4
24,2022-04-09,4
24,2021-10-25,4
25,2022-06-17,3
25,2020-02-09,4
25,2022-07-08,2
26,2021-04-12,5
26,2020-01-04,1
27,2022-05-30,3
27,2022-09-24,4
28,2020-07-12,3
29,2021-03-10,4
29,2021-10-06,2
30,2022-04-15,3
30,2020-08-12,4
31,2020-01-01,4
31,2020-11-15,2
31,2022-06-12,2
32,2020-09-15,2
33,2020-01-10,3
33,2021-10-11,5
34,2020-06-16,4
35,2020-11-14,4
36,2022-02-15,3
37,2021-02-22,3
37,2022-03-27,4
38,2020-11-29,5
38,2021-04-03,5
39,2021-06-30,5
39,2020-11-15,3
39,2022-04-11,4
40,2022-05-22,4
40,2022-04-07,2
40,2021-12-25,2
41,2021-01-13,4
41,2021-07-27,3
41,2022-01-18,3
42,2020-10-22,3
42,2021-09-07,3
43,2021-09-28,3
43,2020-01-23,3
43,2022-09-19,3
44,2021-05-17,3
45,2021-09-07,3
46,2022-08-04,3
46,2021-08-01,4
46,2022-08-25,4
47,2021-09-14,4
47,2021-04-22,4
47,2021-02-23,5
48,2020-04-06,4
49,2022-08-08,2
49,2020-07-14,3
49,2021-06-05,3
50,2022-05-14,2
50,2022-06-27,2
51,2020-08-03,4
52,2020-06-05,3
52,2020-06-05,3
52,2022-04-23,4
53,2020-04-04,3
53,2022-07-20,3
53,2022-03-21,3
54,2020-09-10,5
54,2021-07-03,3
54,2020-01-23,3
55,2020-12-28,2
55,2020-05-20,2
56,2022-09-11,3
56,2021-09-07,4
57,2022-06-06,1
58,2020-04-15,4
58,2022-03-09,4
58,2020-02-20,4
59,2021-12-26,5
60,2022-03-24,3
61,2021-09-13,2
61,2022-09-09,5
62,2022-08-07,3
62,2022-07-24,4
62,2021-03-06,2
63,2020-07-20,4
64,2021-10-27,3
65,2020-08-31,3
65,2020-03-15,5
65,2022-06-21,3
66,2020-12-12,3
66,2022-07-27,1
67,2020-06-27,3
67,2020-01-25,3
67,2021-12-10,1
68,2020-06-25,4
69,2021-10-23,3
69,2022-05-31,4
69,2022-08-24,5
70,2021-11-19,3
71,2021-04-20,3
71,2020-12-25,3
72,2022-01-05,2
73,2021-03-10,3
73,2021-12-23,3
73,2021-10-31,2
74,2021-04-21,3
75,2020-01-18,3
75,2021-01-05,3
75,2020-07-12,3
76,2020-04-23,3
77,2022-04-10,2
77,2020-09-20,4
77,2022-05-20,4
78,2021-04-02,4
78,2020-06-10,3
79,2020-02-24,2
79,2020-06-26,4
79,2020-01-08,1
80,2022-04-14,3
80,2021-03-18,3
80,2020-11-23,2
81,2020-08-16,2
81,2021-08-31,3
81,2020-09-20,2
82,2020-10-14,4
82,2021-05-05,5
83,2020-06-30,3
84,2022-04-02,4
84,2020-01-07,4
84,2021-11-03,3
85,2021-09-15,2
85,2021-07-01,4
85,2020-03-22,4
86,2021-12-09,3
86,2022-01-15,4
86,2021-12-07,3
87,2022-03-15,3
88,2022-06-23,3
88,2022-07-28,3
89,2022-05-03,4
89,2021-08-15,4
90,2021-12-27,4
90,2021-12-21,3
90,2020-07-27,3
91,2020-08-24,3
91,2020-07-19,2
92,2021-05-08,5
92,2021-03-17,5
92,2021-09-01,3
93,2022-04-17,5
93,2022-05-02,4
93,2020-02-10,3
94,2021-11-07,4
95,2021-08-10,3
95,2022-05-23,2
96,2022-04-04,3
96,2021-12-31,3
96,2020-09-24,4
97,2021-03-30,3
98,2022-07-10,3
99,2021-09-25,3
99,2020-05-09,2
100,2021-12-05,2
100,2020-10-18,4
100,2020-01-29,3
